timestamp,longitude,latitude,ve,vn,vd,heading,magx,magy,magz,mag,acc_x,acc_y,acc_z
2975363112,-4.504061779810205,48.492186143265975,0.7321189641952515,0.197534441947937,-0.0005397090571932495,75.23077027345778,0.03960031270980835,-0.5170745849609375,1.1501575708389282,1.261664277427773,0.2954822778701782,0.19675251841545105,-9.859664916992188
2975383112,-4.504061581711112,48.49218617869296,0.7319831252098083,0.19633060693740845,-0.0016888391692191362,75.35404152759817,0.039669327437877655,-0.5167902708053589,1.154234528541565,1.265268029476766,0.2266927808523178,0.17541608214378357,-9.880012512207031
2975403112,-4.504061383631968,48.492186213880366,0.7323000431060791,0.19456633925437927,-0.0031411945819854736,75.47763380062955,0.03549537807703018,-0.52065110206604,1.1499887704849243,1.2628585289686416,0.2788049578666687,0.24346193671226501,-9.869962692260742
2975423112,-4.504061185326266,48.492186248774786,0.7335605025291443,0.19308088719844818,-0.004354999866336584,75.60136267744433,0.023190991953015327,-0.512557327747345,1.1454858779907227,1.255145701905337,0.28651535511016846,0.2711682915687561,-9.889039993286133
2975443112,-4.504060986761235,48.492186283404244,0.73421311378479,0.19169668853282928,-0.006460550706833601,75.72431291269373,0.02741808071732521,-0.5122336745262146,1.1537926197052002,1.2626846390746338,0.2779364287853241,0.24816404283046722,-9.853109359741211
2975463112,-4.504060788013513,48.492186317856046,0.735100507736206,0.19089123606681824,-0.0073960889130830765,75.84750903475324,0.035564396530389786,-0.5203667879104614,1.1540658473968506,1.2664574214669173,0.30694475769996643,0.23274466395378113,-9.87012767791748
2975483112,-4.50406058898005,48.49218635208503,0.7362461090087891,0.18948334455490112,-0.00947600044310093,75.97082810021783,0.03140632435679436,-0.5204061269760132,1.1498361825942993,1.2625102538224429,0.3175748884677887,0.22342078387737274,-9.91084098815918
2975503112,-4.504060389721251,48.49218638603378,0.7365674376487732,0.1875559240579605,-0.01041096169501543,76.09522633557127,0.027094341814517975,-0.5248355865478516,1.1374362707138062,1.2529755648857324,0.2544916868209839,0.2692958414554596,-9.88724136352539
2975523112,-4.504060199670386,48.492186418529144,0.7368907928466797,0.18570679426193237,-0.01139538362622261,76.2204920049493,0.031199276447296143,-0.521259069442749,1.1376049518585205,1.2517305775685845,0.2735573947429657,0.27179962396621704,-9.887290000915527
2975543112,-4.504060000191544,48.492186451832154,0.7378884553909302,0.1839444488286972,-0.012087780982255936,76.3485443915087,0.027094341814517975,-0.5248355865478516,1.1374362707138062,1.2529755648857324,0.3062092363834381,0.3016967177391052,-9.832684516906738
2975563112,-4.504059800449911,48.49218648483117,0.7389770746231079,0.18222664296627045,-0.014279581606388092,76.47970451414045,0.018868573009967804,-0.5358102321624756,1.137082815170288,1.2571419794490302,0.2970321476459503,0.32916080951690674,-9.92133903503418
2975583112,-4.504059600392665,48.49218651749894,0.7403963804244995,0.18028652667999268,-0.01591648906469345,76.61413629738465,0.014997005462646484,-0.5158888697624207,1.1451644897460938,1.2560923312770544,0.34648874402046204,0.30607476830482483,-9.85400104522705
2975603112,-4.504059399819253,48.492186549784996,0.7424752712249756,0.17838889360427856,-0.017443399876356125,76.75269351488753,0.019101949408650398,-0.5123123526573181,1.145333170890808,1.2548374012194887,0.35441267490386963,0.300647109746933,-9.901995658874512
2975623112,-4.504059198773848,48.492186581661564,0.7435892224311829,0.1761236935853958,-0.01798342913389206,76.8937096004916,0.01907016895711422,-0.5199554562568665,1.145301103591919,1.2579475210533253,0.31353873014450073,0.2598331868648529,-9.82872486114502
2975643112,-4.504058997380209,48.492186613181175,0.7451716661453247,0.17432916164398193,-0.01882079988718033,77.03799734670812,0.027216482907533646,-0.5280884504318237,1.1455742120742798,1.2617283478589787,0.3277839720249176,0.2237531691789627,-9.868922233581543
2975663112,-4.50405879558694,48.492186644342546,0.7465629577636719,0.1716316044330597,-0.01896754279732704,77.18463467799913,0.01492798887193203,-0.5161731839179993,1.1410874128341675,1.2524927482330503,0.3143991529941559,0.31051111221313477,-9.81777286529541
2975683112,-4.504058593475871,48.49218667506716,0.7475588321685791,0.16951008141040802,-0.01971728540956974,77.33256974523243,0.01928267441689968,-0.5341042876243591,1.1615450382232666,1.278603178242758,0.3123261034488678,0.31009355187416077,-9.835317611694336
