timestamp,longitude,latitude,ve,vn,vd,heading,magx,magy,magz,mag
20000,-4.5045596505,48.4924672471,0,0,0,-0.8511735080184165,-0.007349455827352358,-0.0005222242307354463,0.357082377304323,0.3571583841944807
40000,-4.5045594065,48.4924670333,0,0,0,-0.8511735080184165,-0.007371699946816079,-0.0005256417953205528,0.3580599575143424,0.3581362191046523
60000,-4.5045591626,48.49246681950001,0,0,0,-0.8511735080184165,-0.007394035983452341,-0.000529082955836202,0.3590410452306969,0.35911756272459033
80000,-4.5045589186,48.49246660570001,0,0,0,-0.8511735080184165,-0.007416462072797003,-0.000532544214365771,0.3600257388825412,0.3601025134193557
100000,-4.5045586746,48.4924663919,0,0,0,-0.8511735080184165,-0.00743897985194053,-0.0005360275372368051,0.3610140140008298,0.36109104676210063
120000,-4.5045584307,48.49246617800001,0,0,0,-0.8511735080184165,-0.007461602936018608,-0.0005395386906457134,0.3620062628397136,0.36208355521281177
140000,-4.5045581867,48.492465964199994,0,0,0,-0.8511735080184165,-0.007484305582693196,-0.0005430666205938905,0.3630017522154958,0.3630793051978172
160000,-4.5045579428,48.4924657504,0,0,0,-0.8511735080184165,-0.0075071025457873475,-0.0005466189377330011,0.3640008309885161,0.3640786458187658
180000,-4.5045576988,48.4924655366,0,0,0,-0.8511735080184165,-0.007529991922638146,-0.00055019205865392,0.36500360008358257,0.36508167793472224
200000,-4.5045574548,48.4924653228,0,0,0,-0.8511735080184165,-0.007552975386715843,-0.0005537879951589275,0.3660100345296087,0.36608837661786153
220000,-4.5045572109,48.49246510900001,0,0,0,-0.8511735080184165,-0.007576054655146436,-0.000557408808163018,0.3670201088025351,0.3670987163885784
240000,-4.5045569669,48.49246489520001,0,0,0,-0.8511735080184165,-0.0075992277797922725,-0.0005610508578683948,0.36803392518049804,0.3681127994578275
260000,-4.5045567229,48.4924646814,0,0,0,-0.8511735080184165,-0.0076224964741413714,-0.0005647161888191476,0.3690514584304765,0.3691306006368666
280000,-4.504556479,48.4924644676,0,0,0,-0.8511735080184165,-0.007645862475328613,-0.0005684068946720799,0.3700726826355094,0.3701520940538254
300000,-4.504556235,48.4924642538,0,0,0,-0.8511735080184165,-0.007669323806112516,-0.0005721192810597131,0.37109770154347643,0.37117738338827416
320000,-4.504555991,48.49246403990001,0,0,0,-0.8511735080184165,-0.007692894694628194,-0.000575859414311708,0.37212692198954755,0.3722068756918154
340000,-4.5045557471,48.4924638261,0,0,0,-0.8511735080184165,-0.007716551999692456,-0.0005796214700239943,0.37315945472801104,0.3732396814229685
360000,-4.5045555031,48.49246361230001,0,0,0,-0.8511735080184165,-0.0077403061386576155,-0.0005834056537423749,0.3741958359169075,0.37427633684061584
