timestamp,longitude,latitude,ve,vn,vd,heading,magx,magy,magz,mag
20000,-4.5043637253,48.49256394599999,0,0,0,3.075817308968825,-21232.06568160042,-1298.0988993517335,43038.371263524656,48008.19799656385
40000,-4.504363704,48.492563622300004,0,0,0,3.075817308968825,-21232.067022061543,-1298.098533625459,43038.39598311037,48008.22074011205
60000,-4.5043636827,48.49256329859999,0,0,0,3.075817308968825,-21232.068367403597,-1298.098166987145,43038.42076043693,48008.24353755971
80000,-4.5043636613,48.4925629749,0,0,0,3.075817308968825,-21232.06971782558,-1298.097799379752,43038.44559938536,48008.2663924726
100000,-4.50436364,48.49256265119999,0,0,0,3.075817308968825,-21232.07107299774,-1298.0974309078001,43038.47049275561,48008.28929825298
120000,-4.5043636187,48.4925623275,0,0,0,3.075817308968825,-21232.072433118705,-1298.0970615143713,43038.49544442017,48008.31225845882
140000,-4.5043635974,48.4925620038,0,0,0,3.075817308968825,-21232.073798211488,-1298.0966911962576,43038.520454567355,48008.33527326902
160000,-4.5043635761,48.49256168010001,0,0,0,3.075817308968825,-21232.075168299125,-1298.0963199502569,43038.545523384826,48008.35834286193
180000,-4.5043635547,48.4925613564,0,0,0,3.075817308968825,-21232.07654358467,-1298.0959477184037,43038.57065481445,48008.38147085962
200000,-4.5043635334,48.4925610328,0,0,0,3.075817308968825,-21232.077923317098,-1298.0955747186015,43038.59583400704,48008.40464362383
220000,-4.5043635121,48.4925607091,0,0,0,3.075817308968825,-21232.07930852805,-1298.0952006697134,43038.621079961726,48008.427878635564
240000,-4.5043634908,48.4925603854,0,0,0,3.075817308968825,-21232.080698827343,-1298.0948256799977,43038.64638534449,48008.451169150416
260000,-4.5043634694,48.4925600617,0,0,0,3.075817308968825,-21232.082094421352,-1298.0944496907312,43038.67175414696,48008.4745188365
280000,-4.5043634481,48.492559738,0,0,0,3.075817308968825,-21232.083494969425,-1298.0940728093146,43038.697178975344,48008.49792091767
300000,-4.5043634268,48.492559414300004,0,0,0,3.075817308968825,-21232.084900677368,-1298.0936949772079,43038.72266380863,48008.521379050464
320000,-4.5043634055,48.492559090600004,0,0,0,3.075817308968825,-21232.08631156941,-1298.0933161910589,43038.74820884304,48008.54489342145
340000,-4.5043633842,48.4925587669,0,0,0,3.075817308968825,-21232.08772766985,-1298.092936447522,43038.773814274195,48008.56846421665
360000,-4.5043633628,48.4925584432,0,0,0,3.075817308968825,-21232.089149189116,-1298.0925556869652,43038.799484153285,48008.59209515936
380000,-4.5043633415,48.4925581195,0,0,0,3.075817308968825,-21232.09057578027,-1298.0921740184435,43038.8252109753,48008.61577937098
400000,-4.5043633202,48.4925577958,0,0,0,3.075817308968825,-21232.092007653395,-1298.0917913824446,43038.850998783084,48008.63952056718
420000,-4.5043632989,48.4925574721,0,0,0,3.075817308968825,-21232.093444833394,-1298.0914077755517,43038.87684777619,48008.6633189378
440000,-4.5043632775,48.4925571484,0,0,0,3.075817308968825,-21232.094887534186,-1298.0910231373414,43038.90276205775,48008.68717825418
460000,-4.5043632562,48.4925568247,0,0,0,3.075817308968825,-21232.09633540366,-1298.0906375782297,43038.9287340313,48008.71109155353
480000,-4.5043632349,48.492556501,0,0,0,3.075817308968825,-21232.097788655377,-1298.0902510379203,43038.95476779114,48008.73506259914
500000,-4.5043632136,48.49255617730001,0,0,0,3.075817308968825,-21232.09924731466,-1298.0898635129706,43038.98086353769,48008.7590915818
520000,-4.5043631923,48.492555853599995,0,0,0,3.075817308968825,-21232.10071140723,-1298.0894749998592,43039.00702147646,48008.78317869705
540000,-4.5043631709,48.4925555299,0,0,0,3.075817308968825,-21232.10218115121,-1298.0890854372344,43039.03324577135,48008.80732777257
560000,-4.5043631496,48.49255520620001,0,0,0,3.075817308968825,-21232.103656188137,-1298.0886949371632,43039.05952871498,48008.83153174334
580000,-4.5043631283,48.4925548825,0,0,0,3.075817308968825,-21232.105136735856,-1298.0883034384026,43039.08587446361,48008.85579443007
600000,-4.504363107,48.4925545588,0,0,0,3.075817308968825,-21232.106622820564,-1298.0879109373946,43039.11228322434,48008.88011602994
620000,-4.5043630857,48.4925542351,0,0,0,3.075817308968825,-21232.108114468512,-1298.0875174305877,43039.13875520358,48008.90449673952
640000,-4.5043630643,48.4925539114,0,0,0,3.075817308968825,-21232.109611902535,-1298.0871228555784,43039.16529463417,48008.928940450336
660000,-4.504363043,48.4925535878,0,0,0,3.075817308968825,-21232.111114305204,-1298.0867274446664,43039.19188572863,48008.953432653994
680000,-4.5043630217,48.4925532641,0,0,0,3.075817308968825,-21232.112622801476,-1298.0863308989924,43039.21854861189,48008.977991881584
700000,-4.5043630004,48.492552940399996,0,0,0,3.075817308968825,-21232.114136967903,-1298.0859333330566,43039.245275554385,48009.002611019525
720000,-4.504362979,48.4925526167,0,0,0,3.075817308968825,-21232.11565703078,-1298.0855346837013,43039.272070838204,48009.027294005034
740000,-4.5043629577,48.492552293,0,0,0,3.075817308968825,-21232.11718261967,-1298.085135066101,43039.29892654738,48009.05203358087
760000,-4.5043629364,48.49255196930001,0,0,0,3.075817308968825,-21232.11871396039,-1298.084734417256,43039.325846953056,48009.07683367423
780000,-4.5043629151,48.4925516456,0,0,0,3.075817308968825,-21232.120251080578,-1298.084332733443,43039.352832271295,48009.10169449094
800000,-4.5043628938,48.4925513219,0,0,0,3.075817308968825,-21232.121794008013,-1298.0839300109317,43039.37988271851,48009.12661623723
820000,-4.5043628724,48.4925509982,0,0,0,3.075817308968825,-21232.1233429737,-1298.0835261855268,43039.40700264453,48009.151602913065
840000,-4.5043628511,48.4925506745,0,0,0,3.075817308968825,-21232.124897600253,-1298.0831213741956,43039.4341840132,48009.17664715046
860000,-4.5043628298,48.4925503508,0,0,0,3.075817308968825,-21232.12645811829,-1298.0827155128823,43039.46143116465,48009.20175294054
880000,-4.5043628085,48.4925500271,0,0,0,3.075817308968825,-21232.12802455613,-1298.0823085978122,43039.48874431725,48009.22692049152
900000,-4.5043627871,48.4925497034,0,0,0,3.075817308968825,-21232.129597148753,-1298.081900563914,43039.516127878145,48009.2521538565
920000,-4.5043627658,48.49254937970001,0,0,0,3.075817308968825,-21232.13117551302,-1298.0814915296396,43039.54357371158,48009.27744557567
940000,-4.5043627445,48.492549056,0,0,0,3.075817308968825,-21232.132759883436,-1298.0810814300808,43039.571086213415,48009.30279969185
960000,-4.5043627232,48.4925487323,0,0,0,3.075817308968825,-21232.134350289023,-1298.0806702613804,43039.59866560654,48009.32821641759
980000,-4.5043627019,48.4925484086,0,0,0,3.075817308968825,-21232.135946759125,-1298.0802580196323,43039.62631211686,48009.35369596828
1000000,-4.5043626805,48.4925480849,0,0,0,3.075817308968825,-21232.137549533527,-1298.07984463872,43039.65403021961,48009.37924246019
1020000,-4.5043626592,48.4925477612,0,0,0,3.075817308968825,-21232.13915822181,-1298.0794302389681,43039.68181165368,48009.40484831798
1040000,-4.5043626379,48.4925474375,0,0,0,3.075817308968825,-21232.14077306355,-1298.0790147543555,43039.7096608875,48009.4305176517
1060000,-4.5043626166,48.4925471138,0,0,0,3.075817308968825,-21232.14239408857,-1298.0785981809527,43039.7375781475,48009.45625067743
1080000,-4.5043625952,48.49254679010001,0,0,0,3.075817308968825,-21232.144021540706,-1298.078180451774,43039.76556796562,48009.48205156405
1100000,-4.5043625739,48.492546466499995,0,0,0,3.075817308968825,-21232.14565453235,-1298.077761813974,43039.79361359016,48009.50790490806
1120000,-4.5043625526,48.4925461428,0,0,0,3.075817308968825,-21232.14729428789,-1298.0773419503073,43039.82173630747,48009.533830325265
1140000,-4.5043625313,48.49254581910001,0,0,0,3.075817308968825,-21232.14894034848,-1298.076920981765,43039.84992797874,48009.55982031973
1160000,-4.50436251,48.4925454954,0,0,0,3.075817308968825,-21232.15059274496,-1298.0764989042957,43039.878188837276,48009.585875114135
1180000,-4.5043624886,48.4925451717,0,0,0,3.075817308968825,-21232.15225172636,-1298.0760756497898,43039.906523488185,48009.611998945205
1200000,-4.5043624673,48.492544848,0,0,0,3.075817308968825,-21232.153916888998,-1298.0756513419483,43039.934923444205,48009.638184029085
1220000,-4.504362446,48.4925445243,0,0,0,3.075817308968825,-21232.155588481288,-1298.075225912863,43039.963393296566,48009.66443458977
1240000,-4.5043624247,48.4925442006,0,0,0,3.075817308968825,-21232.157266534927,-1298.07479935837,43039.991933284975,48009.69075085609
1260000,-4.5043624033,48.4925438769,0,0,0,3.075817308968825,-21232.158951303183,-1298.0743716094535,43040.020548073466,48009.717137119434
1280000,-4.504362382,48.4925435532,0,0,0,3.075817308968825,-21232.160642376086,-1298.0739427914148,43040.04922906779,48009.74358549728
1300000,-4.5043623607,48.49254322950001,0,0,0,3.075817308968825,-21232.162340006464,-1298.0735128353867,43040.077980921575,48009.770100271504
1320000,-4.5043623394,48.4925429058,0,0,0,3.075817308968825,-21232.164044226753,-1298.0730817371368,43040.106803878,48009.796681674365
1340000,-4.5043623181,48.49254258210001,0,0,0,3.075817308968825,-21232.165755069505,-1298.072649492427,43040.13569818032,48009.82332993825
1360000,-4.5043622967,48.49254225839999,0,0,0,3.075817308968825,-21232.167472793488,-1298.072216031067,43040.164668568905,48009.85004942537
