timestamp,longitude,latitude,ve,vn,vd,heading,magx,magy,magz,mag
1320000,-4.5043623394,48.4925429058,0,0,0,3.075817308968825,-21228.973740929046,-1299.5125150057286,42970.03084818733,47945.61095620622
1340000,-4.5043623181,48.49254258210001,0,0,0,3.075817308968825,-21228.96385917311,-1299.5173704508272,42969.91983528728,47945.507219980434
1360000,-4.5043622967,48.49254225839999,0,0,0,3.075817308968825,-21228.953925431753,-1299.5222532775776,42969.80844784251,47945.403125838304
1380000,-4.5043622754,48.4925419347,0,0,0,3.075817308968825,-21228.94394159863,-1299.5271628296914,42969.69670695104,47945.29869350934
1400000,-4.5043622541,48.492541611,0,0,0,3.075817308968825,-21228.93390622044,-1299.5320997238969,42969.58459940471,47945.193910529626
1420000,-4.5043622328,48.4925412873,0,0,0,3.075817308968825,-21228.92381895525,-1299.5370641549487,42969.47212341724,47945.08877515244
1440000,-4.5043622115,48.49254096359999,0,0,0,3.075817308968825,-21228.913679456342,-1299.5420563202597,42969.359277168514,47944.983285598726
1460000,-4.5043621901,48.49254063990001,0,0,0,3.075817308968825,-21228.90348622583,-1299.5470768566756,42969.24604717506,47944.877429138636
1480000,-4.5043621688,48.49254031620001,0,0,0,3.075817308968825,-21228.8932412061,-1299.5521250900574,42969.13245490258,47944.771225852295
1500000,-4.5043621475,48.4925399925,0,0,0,3.075817308968825,-21228.882942898512,-1299.5572016587237,42969.01848687109,47944.664663012714
1520000,-4.5043621262,48.4925396688,0,0,0,3.075817308968825,-21228.872590946423,-1299.562306766245,42968.90414122939,47944.557738808726
1540000,-4.5043621048,48.4925393451,0,0,0,3.075817308968825,-21228.862183812267,-1299.5674410684376,42968.789404246985,47944.4504402721
1560000,-4.5043620835,48.49253902150001,0,0,0,3.075817308968825,-21228.851726642803,-1299.5726023056814,42968.674332550334,47944.34282037056
1580000,-4.5043620622,48.4925386978,0,0,0,3.075817308968825,-21228.84121159293,-1299.5777942653326,42968.55884286609,47944.234801102204
1600000,-4.5043620409,48.49253837410001,0,0,0,3.075817308968825,-21228.830641440192,-1299.5830155970834,42968.44296801899,47944.12641307879
1620000,-4.5043620196,48.4925380504,0,0,0,3.075817308968825,-21228.820015811707,-1299.5882665141667,42968.326706081694,47944.01765441401
1640000,-4.5043619982,48.4925377267,0,0,0,3.075817308968825,-21228.809333121484,-1299.5935476956095,42968.210043039195,47943.90851186387
1660000,-4.5043619769,48.492537403,0,0,0,3.075817308968825,-21228.79859540555,-1299.5988584325385,42968.09300106283,47943.799006181354
1680000,-4.5043619556,48.4925370793,0,0,0,3.075817308968825,-21228.787801078837,-1299.6041994046968,42967.97556616102,47943.6891241439
1700000,-4.5043619343,48.49253675560001,0,0,0,3.075817308968825,-21228.77694975675,-1299.6095708324983,42967.85773636333,47943.578863821596
1720000,-4.5043619129,48.4925364319,0,0,0,3.075817308968825,-21228.76603981063,-1299.6149734155074,42967.73949739449,47943.468211718864
1740000,-4.5043618916,48.4925361082,0,0,0,3.075817308968825,-21228.755073322176,-1299.6204064275773,42967.62087177337,47943.357188919916
1760000,-4.5043618703,48.4925357845,0,0,0,3.075817308968825,-21228.744048663837,-1299.6258705689486,42967.50184525054,47943.245781952864
1780000,-4.504361849,48.492535460800006,0,0,0,3.075817308968825,-21228.73296543816,-1299.6313660678404,42967.382415803775,47943.13398883589
1800000,-4.5043618277,48.49253513709999,0,0,0,3.075817308968825,-21228.721823243737,-1299.6368931548059,42967.262581390474,47943.02180756728
1820000,-4.5043618063,48.492534813400006,0,0,0,3.075817308968825,-21228.710620398953,-1299.6424525550078,42967.14232742604,47942.909224351504
1840000,-4.504361785,48.49253448969999,0,0,0,3.075817308968825,-21228.699359042115,-1299.6480435210503,42967.02167685009,47942.79626067433
1860000,-4.5043617637,48.492534166000006,0,0,0,3.075817308968825,-21228.688037492855,-1299.6536667787243,42966.900615106584,47942.682902766406
1880000,-4.5043617424,48.4925338423,0,0,0,3.075817308968825,-21228.676655335817,-1299.659322567024,42966.77914009414,47942.56914856738
1900000,-4.504361721,48.4925335186,0,0,0,3.075817308968825,-21228.665210844658,-1299.665011632825,42966.65723696575,47942.45498402736
1920000,-4.5043616997,48.492533194900005,0,0,0,3.075817308968825,-21228.653706205176,-1299.6707332107264,42966.53492901433,47942.34043096928
1940000,-4.5043616784,48.492532871200005,0,0,0,3.075817308968825,-21228.64213969177,-1299.6764880485248,42966.4122014166,47942.225475364874
1960000,-4.5043616571,48.4925325475,0,0,0,3.075817308968825,-21228.630510875497,-1299.6822763935454,42966.28905202046,47942.11011510255
